ID,duration,mix_wav,mix_wav_format,mix_wav_opts,s1_wav,s1_wav_format,s1_wav_opts,s2_wav,s2_wav_format,s2_wav_opts,noise_wav,noise_wav_format,noise_wav_opts
0,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/103-1241-0014_1898-145715-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/103-1241-0014_1898-145715-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/103-1241-0014_1898-145715-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/103-1241-0014_1898-145715-0021.wav,wav,
1,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1034-121119-0005_87-121553-0036.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1034-121119-0005_87-121553-0036.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1034-121119-0005_87-121553-0036.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1034-121119-0005_87-121553-0036.wav,wav,
2,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1081-125237-0008_3235-11599-0013.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1081-125237-0008_3235-11599-0013.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1081-125237-0008_3235-11599-0013.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1081-125237-0008_3235-11599-0013.wav,wav,
3,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1098-133695-0060_6818-76332-0017.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1098-133695-0060_6818-76332-0017.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1098-133695-0060_6818-76332-0017.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1098-133695-0060_6818-76332-0017.wav,wav,
4,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/118-124588-0004_150-126112-0003.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/118-124588-0004_150-126112-0003.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/118-124588-0004_150-126112-0003.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/118-124588-0004_150-126112-0003.wav,wav,
5,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/118-47824-0052_1578-6379-0048.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/118-47824-0052_1578-6379-0048.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/118-47824-0052_1578-6379-0048.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/118-47824-0052_1578-6379-0048.wav,wav,
6,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/125-121124-0048_4088-158077-0039.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/125-121124-0048_4088-158077-0039.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/125-121124-0048_4088-158077-0039.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/125-121124-0048_4088-158077-0039.wav,wav,
7,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1263-139804-0006_3440-171009-0063.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1263-139804-0006_3440-171009-0063.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1263-139804-0006_3440-171009-0063.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1263-139804-0006_3440-171009-0063.wav,wav,
8,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1502-122619-0086_6476-57446-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1502-122619-0086_6476-57446-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1502-122619-0086_6476-57446-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1502-122619-0086_6476-57446-0021.wav,wav,
9,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1553-140048-0017_2436-2477-0023.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1553-140048-0017_2436-2477-0023.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1553-140048-0017_2436-2477-0023.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1553-140048-0017_2436-2477-0023.wav,wav,
10,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1578-140049-0027_1743-142913-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1578-140049-0027_1743-142913-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1578-140049-0027_1743-142913-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1578-140049-0027_1743-142913-0006.wav,wav,
11,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1594-135914-0101_4267-72637-0019.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1594-135914-0101_4267-72637-0019.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1594-135914-0101_4267-72637-0019.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1594-135914-0101_4267-72637-0019.wav,wav,
